Name,EC,QR,IN,OM,W,Tp,N,MA,TA,A,AD,PR,Type,Parent
Quaoar,0.037029799191,41.846777004943,7.992418947994,188.814110523382,152.572605053287,2477641.740718660000,0.003440569412,307.912391469789,304.468831052555,43.455941803598,45.065106602253,104633.843106061000,TNO,Sun
Sedna,0.846866692370,76.127122958599,11.927474718125,144.436755826850,311.459911304818,2479468.870733730000,0.000088919998,358.491350351698,327.472974843205,497.129750130099,918.132377301600,4048583.096161560000,TNO,Sun
2002 MS4,0.142700089272,35.839421815641,17.685658187100,215.956027524254,214.548945303714,2496528.764306580000,0.003646378520,235.927360704914,223.708671431243,41.804998889137,47.770575962633,98728.093639047800,TNO,Sun
Orcus,0.220682619518,30.701408248542,20.571129929080,268.668102772663,72.447160407594,2503740.284661360000,0.003986008055,195.625858171325,190.259016350026,39.395256691898,48.089105135255,90315.923860849000,TNO,Sun
Salacia,0.108836032400,37.379721085115,23.933184113009,280.028637767805,309.379688556798,2424236.175431770000,0.003628159881,138.836343585217,146.259773484801,41.944829957391,46.509938829666,99223.852262477500,TNO,Sun
2002 AW197,0.132173379695,41.146537640233,24.388166666663,297.497878687701,294.669192743560,2479721.288945530000,0.003018933738,308.017617118882,294.858507990616,47.413315836929,53.680094033624,119247.400308058000,TNO,Sun
2013 FY27,0.392950741823,35.780278216414,33.039311892130,187.108812413921,138.750546504999,2525545.362710610000,0.002178082889,222.687419456685,200.796391220456,58.941309513918,82.102340811421,165282.965960006000,TNO,Sun
2003 AZ84,0.179410562762,32.459682414240,13.574204007326,252.120649187121,14.185741830987,2490471.197992700000,0.003961654138,249.197691868375,231.674120046136,39.556544285425,46.653406156609,90871.132985908500,TNO,Sun
2005 UX25,0.224147450144,1.993624275733,4.153916448973,35.061573788642,333.631961741548,2462627.106517640000,0.239280821839,330.184050052338,313.620793157860,2.569591704122,3.145559132512,1504.508373190020,TNO,Sun
Varda,0.141338582013,39.405072623159,21.510769583889,184.001829954752,181.901894026054,2486369.094340100000,0.003170361603,284.334265716867,268.145112642663,45.891281240451,52.377489857743,113551.715896764000,TNO,Sun
2004 GV9,0.079720411823,38.787834018453,21.950192355153,250.613344114519,294.622440566696,2448111.591122440000,0.003601973102,51.835666688038,59.465386934041,42.147880401530,45.507926784607,99945.221638575900,TNO,Sun
2005 RN43,0.021348126217,40.573809401458,19.304048846856,186.975504848968,169.964812667384,2461985.505778660000,0.003692136466,1.908813217370,1.992527502620,41.458878778441,42.343948155424,97504.521651811500,TNO,Sun
2007 JJ43,0.162735904649,40.342836175757,12.045678446105,272.522953614189,7.258469175958,2464947.189057670000,0.002946782862,352.796032182723,349.875207815178,48.184123026121,56.025409876484,122167.128322503000,TNO,Sun
Varuna,0.051368968995,40.808894127603,17.187241530316,97.332780704304,267.520115474288,2426348.272366190000,0.003493154746,126.292311829181,130.858060667108,43.018721498471,45.228548869340,103058.703729917000,TNO,Sun
Ixion,0.243176617671,29.957677452031,19.607759407104,70.985269212570,299.259435995859,2477304.645957500000,0.003957616200,301.418787367521,274.272689719618,39.583445955191,49.209214458351,90963.848395098500,TNO,Sun
2007 UK126,0.488760526288,37.520339630130,23.356295674675,131.181741500185,346.654182773536,2468493.122536010000,0.001567618937,350.608986667843,329.614918260236,73.390928438465,109.261517246799,229647.646817905000,TNO,Sun
Chaos,0.103358711557,40.991897926655,12.047746350325,50.053162084099,58.296708666330,2464526.439463970000,0.003188490548,353.546688148645,352.020971045472,45.717165219838,50.442432513021,112906.089743363000,TNO,Sun
2010 KZ29,0.128449943924,2.400542917008,5.468232477565,304.394053580867,27.151680530706,2462117.000799670000,0.215614699052,83.119294063911,97.854486675649,2.754337401820,3.108131886632,1669.644980527900,TNO,Sun
